cik,cusip6,cusip9
0000018180,30701A,30701A106
0000018230,149123,149123101
0000018255,149205,149205106
0000018349,87161C,87161C105
0000018349,87161C,87161C501
0000018396,125071,12507110
0000018396,125071,125071100
0000018498,371532,371532102
0000018498,971532,971532102
0000018508,345469,345469100
0000018532,152312,152312104
0000018540,152357,152357100
0000018540,152357,152357109
0000018540,559079,559079108
0000018568,2049H1,2049H109
0000018651,153645,153645880
0000018651,153645,153645881
0000018654,02361D,02361D506
0000018654,153663,153663307
0000018672,153897,153897608
0000018808,155771,155771108
0000018808,64927A,64927A103
0000018926,156700,156700106
0000018926,550241,550241103
0000019252,75884M,75884M104
0000019353,161133,161133103
0000019411,559079,559079207
0000019411,640268,640268108
0000019446,138098,138098108
0000019520,162456,162456101
0000019584,16359R,16359R103
0000019731,165159,165159104
0000019871,168088,168088102
0000020041,170268,17026810
0000020041,170268,170268106
0000020067,170520,170520308
0000020067,170520,170520506
0000020171,171232,171232101
0000020286,172062,172062101
0000020388,125577,125577101
0000020520,17453B,17453B101
0000020520,500434,500434303
0000020629,125906,12590610
0000020629,125906,125906101
0000020639,023164,023164106
0000020740,179895,179895107
0000021076,189054,189054109
0000021212,189873,189873102
0000021267,190441,190441105
0000021271,919138,919138101
0000021271,919138,919138107
0000021271,91913Y,91913Y100
0000021510,192479,192479103
0000021535,001751,001751192
0000021610,752907,752907101
0000021665,194162,194162103
0000021686,194194,194194106
0000021759,194858,194858106
0000021828,195621,195621503
0000022099,197648,197648101
0000022099,197648,197648108
0000022301,200300,200300101
0000022337,200435,200435101
0000022356,200525,200525103
0000022444,201723,201723101
0000022444,201723,201723103
0000022444,201731,20173101
0000022470,201709,201709100
0000022470,201709,201709102
0000022470,457472,457472108
0000022698,20564D,20564D101
0000022698,20564D,20564D107
0000022701,203900,203900
0000022735,203666,203666101
0000022764,204015,204015101
0000022764,893719,893719101
0000022872,204620,204620207
0000022912,204795,204795
0000023019,205908,205908106
0000023055,204171,204171102
0000023055,39943Y,39943Y103
0000023071,043127,043127109
0000023071,205300,205300106
0000023082,205363,205363101
0000023082,205363,205363104
0000023111,205477,205477102
0000023194,205768,205768203
0000023197,205826,205826209
0000023217,205887,205887102
0000023259,126426,126426402
0000023426,207597,207597204
0000023426,207597,207597402
0000023632,209115,209115104
0000023675,12612W,12612W104
0000023675,205944,205944101
0000024011,211327,211327100
0000024011,211327,211327101
0000024058,211113,211113100
0000024058,211113,211113105
0000024454,216669,216669101
0000024454,216669,216669507
0000024491,216831,216831107
0000024545,60871R,60871R209
0000024741,219350,219350105
0000025191,222372,222372101
0000025212,222660,222660101
0000025212,222660,222660102
0000025232,053469,053469102
0000025232,151895,151895109
0000025232,222795,222795106
0000025232,222795,222795403
0000025232,222795,222795502
0000025354,125902,125902106
0000025445,224399,224399105
0000025475,224633,224633107
0000025475,224633,224633206
0000025506,225224,225224104
0000025743,88338N,88338N107
0000025757,227111,227111101
0000025793,227478,227478104
0000025885,228219,22821913
0000025885,228219,228219309
0000025890,228255,228255105
0000025890,228255,228255303
0000025895,228309,228309100
0000026058,126501,126501105
0000026076,229669,229669106
0000026172,231021,231021106
0000026261,231298,231298100
0000026324,231561,231561101
0000026780,235825,235825205
0000026821,236235,236235101
0000026938,237415,237415100
0000026938,237415,23741511
0000026999,237688,237688101
0000026999,237688,237688106
0000027075,238045,238045101
0000027093,238108,238108203
0000027116,238173,238173101
0000027419,239753,239753106
0000027419,87612E,87612E106
0000027425,023395,023395106
0000027613,243631,243631201
0000027613,243631,243631207
0000027613,246312,24631207
0000027879,247109,247109101
0000027904,247361,247361702
0000028209,249555,24955510
0000028367,981579,981579105
0000028412,200340,200340107
0000028582,252165,252165101
0000028582,252165,252165105
0000028626,384109,384109104
0000028630,2330X1,2330X1001
0000028630,23330X,23330X
0000028630,23330X,23330X100
0000028755,253003,253003107
0000028823,253651,253651100
0000028823,253651,253651103
0000028866,253041,253041081
0000028866,253804,25380420
0000028866,92343P,92343P107
0000028887,253849,253849103
0000028917,254063,254063100
0000028917,254067,254067101
0000029332,255519,255519100
0000029332,255579,255579104
0000029534,256669,256669101
0000029534,256669,256669102
0000029590,606711,606711109
0000029590,909914,90991410
0000029590,909914,909914103
0000029644,257651,257651108
0000029644,257651,257651109
0000029646,225434,225434
0000029669,257867,257867101
0000029693,258006,258006105
0000029693,486250,48625010
0000029806,21036U,21036U101
0000029854,258777,258777101
0000029905,260003,260003108
0000029915,260543,260543103
0000029924,260561,260561105
0000029989,681919,681919106
0000030067,261471,261471106
0000030099,261597,261597101
0000030117,391546,391546109
0000030125,282520,282520105
0000030125,45781W,45781W109
0000030125,769667,769667106
0000030302,264142,264142100
0000030371,264399,264399106
0000030419,74955W,74955W307
0000030547,266093,266093101
0000030554,263534,263534109
0000030625,34354P,34354P105
0000030625,35354P,35354P105
0000030697,81725T,81725T100
0000030697,895927,895927101
0000030697,895927,895927309
0000030697,950587,950587105
0000030697,95058W,95058W100
0000030828,191042,191042100
0000030831,268102,268102100
0000030841,268138,268138100
0000030841,268138,268138104
0000030908,269514,269514105
0000030966,268839,268839101
0000031107,276317,276317104
0000031277,278058,278058102
0000031364,278763,278763100
0000031364,278763,278763107
0000031462,278865,278865100
0000031575,280875,280875303
0000031617,000003,000003161
0000031617,281347,281347104
0000031791,714046,714046109
0000031791,731108,731108106
0000031978,283677,283677851
0000031978,283677,283677854
0000032017,077852,077852101
0000032017,287456,287456107
0000032020,284470,284470101
0000032166,285218,285218103
0000032166,285218,28521813
0000032198,26873N,26873N108
0000032232,285661,285661997
0000032258,888266,888266
0000032258,888266,888266103
0000032258,888626,88862662
0000032272,88554L,88554L10
0000032272,88554L,88554L108
0000032604,291011,291011104
0000032621,291087,291087203
0000032666,295157,295157510
0000032666,295157,295157520
0000032689,500434,500434303
0000032870,749056,749056107
0000032908,000127,000127914
0000032908,947074,947074101
0000033002,293389,293389102
0000033015,293567,293567103
0000033015,873170,873170302
0000033073,294037,294037001
0000033073,294037,294037205
0000033113,294092,294092101
0000033185,294429,294429105
